file,category,k,rotation_deg,d16a_error,mf_error,p2v2_error,mean_error,std_error
bathtub/bathtub_0098.ply,2_fronts,2,334.41,78.75,88.94,53.32,73.67,14.98
chair/chair_0089.ply,1_front,1,271.90,178.10,177.56,175.34,177.00,1.20
chair/chair_0065.ply,1_front,1,248.35,135.85,161.07,132.26,143.06,12.82
glass_box/glass_box_0024.ply,4_fronts,4,256.66,51.67,21.40,28.30,33.79,12.95
airplane/airplane_0089.ply,1_front,1,143.64,98.64,38.70,21.36,52.90,33.11
chair/chair_0799.ply,1_front,1,241.81,129.31,129.23,126.74,128.42,1.19
chair/chair_0412.ply,1_front,1,134.43,90.57,88.69,92.61,90.62,1.60
chair/chair_0688.ply,1_front,1,323.86,81.14,71.17,74.73,75.68,4.12
glass_box/glass_box_0236.ply,4_fronts,4,162.54,39.96,34.96,37.17,37.36,2.05
airplane/airplane_0102.ply,1_front,1,89.25,0.75,125.85,134.87,87.16,61.21
glass_box/glass_box_0138.ply,4_fronts,4,23.05,44.45,31.17,41.89,39.17,5.75
glass_box/glass_box_0050.ply,4_fronts,4,7.57,67.50,16.53,15.20,33.08,24.35
bench/bench_0128.ply,2_fronts,2,199.41,78.75,50.66,42.82,57.41,15.43
chair/chair_0568.ply,1_front,1,211.84,76.84,60.55,65.40,67.59,6.83
bookshelf/bookshelf_0278.ply,2_fronts,2,2.59,78.75,89.60,8.13,58.82,36.12
chair/chair_0936.ply,1_front,1,254.82,119.82,171.84,148.60,146.75,21.28
chair/chair_0446.ply,1_front,1,21.19,66.19,43.68,47.85,52.57,9.78
bathtub/bathtub_0012.ply,1_front,1,24.26,133.24,35.37,129.54,99.38,45.29
chair/chair_0057.ply,1_front,1,11.31,33.81,23.90,25.26,27.65,4.39
bookshelf/bookshelf_0178.ply,1_front,1,118.95,128.55,105.93,34.21,89.56,40.21
chair/chair_0948.ply,1_front,1,185.10,5.10,7.06,12.26,8.14,3.02
chair/chair_0421.ply,1_front,1,100.25,147.25,177.58,154.94,159.92,12.88
bathtub/bathtub_0137.ply,2_fronts,2,174.75,50.25,84.37,12.09,48.90,29.52
chair/chair_0074.ply,1_front,1,194.12,53.38,32.32,19.62,35.11,13.92
bathtub/bathtub_0061.ply,2_fronts,2,260.41,78.75,88.58,20.88,62.74,29.87
chair/chair_0048.ply,1_front,1,317.66,87.34,104.80,85.48,92.54,8.70
glass_box/glass_box_0091.ply,4_fronts,4,207.44,33.75,28.73,34.22,32.23,2.48
bookshelf/bookshelf_0160.ply,2_fronts,2,87.48,78.75,89.19,3.12,57.02,38.35
glass_box/glass_box_0103.ply,4_fronts,4,170.27,37.85,17.96,21.52,25.78,8.66
chair/chair_0240.ply,1_front,1,146.54,55.96,82.50,73.27,70.58,11.00
chair/chair_0155.ply,1_front,1,33.96,78.96,75.45,70.47,74.96,3.48
chair/chair_0620.ply,1_front,1,237.23,102.23,122.32,108.69,111.08,8.37
bench/bench_0045.ply,2_fronts,2,127.55,78.75,87.80,75.91,80.82,5.07
chair/chair_0460.ply,1_front,1,148.00,54.50,60.12,69.37,61.33,6.13
chair/chair_0782.ply,1_front,1,310.98,94.02,94.82,99.64,96.16,2.48
glass_box/glass_box_0216.ply,4_fronts,4,19.50,56.25,35.30,44.45,45.33,8.57
chair/chair_0943.ply,1_front,1,235.24,100.24,119.13,113.86,111.08,7.96
glass_box/glass_box_0188.ply,4_fronts,4,232.62,7.62,19.04,14.99,13.89,4.73
chair/chair_0227.ply,1_front,1,21.82,135.68,45.70,48.23,76.54,41.83
chair/chair_0472.ply,1_front,1,262.16,172.16,160.97,163.19,165.44,4.84
chair/chair_0342.ply,1_front,1,288.21,139.29,144.45,142.53,142.09,2.13
chair/chair_0371.ply,1_front,1,39.34,84.34,74.98,82.98,80.77,4.13
chair/chair_0216.ply,1_front,1,68.97,136.47,139.95,135.34,137.26,1.96
chair/chair_0978.ply,1_front,1,193.06,35.56,27.64,25.63,29.61,4.29
airplane/airplane_0167.ply,1_front,1,50.47,84.53,101.57,89.75,91.95,7.13
airplane/airplane_0057.ply,1_front,1,66.06,46.44,128.42,100.54,91.80,34.03
bookshelf/bookshelf_0223.ply,1_front,1,166.55,13.45,43.90,149.16,68.84,58.14
wardrobe/wardrobe_0094.ply,1_front,1,314.81,89.81,89.95,87.59,89.12,1.08
bookshelf/bookshelf_0032.ply,2_fronts,2,27.14,78.75,88.68,56.18,74.53,13.60
chair/chair_0045.ply,1_front,1,290.89,136.61,150.62,138.49,141.91,6.21
chair/chair_0459.ply,1_front,1,308.15,96.85,102.82,103.67,101.11,3.03
glass_box/glass_box_0094.ply,4_fronts,4,35.25,9.75,16.65,17.61,14.67,3.50
chair/chair_0437.ply,1_front,1,234.77,99.77,121.16,96.99,105.97,10.80
bench/bench_0091.ply,2_fronts,2,194.61,82.11,70.89,34.41,62.47,20.36
chair/chair_0772.ply,1_front,1,5.31,27.81,9.46,16.07,17.78,7.59
bookshelf/bookshelf_0126.ply,1_front,1,33.57,56.07,79.74,70.05,68.62,9.71
airplane/airplane_0116.ply,1_front,1,271.28,1.28,179.21,38.66,73.05,76.60
bookshelf/bookshelf_0104.ply,2_fronts,2,85.10,78.75,89.48,8.78,59.01,35.78
